Document,Topic_group
can find sent wednesday can find dear would you please check why can find discipline thanks head testing,Hardware
new starter account thursday november assistants starter hi dear please informed candidate accepted become december test engineer grade st please create his per attached form thank officer,HR Support
project code missing pm tuesday pm code pm hello please assign kind regards tuesday code pm hi please made create code thank best regards re code pm hi old code work client by requested creation old code thanks tuesday code pm good morning code has without name please identifying name thank best regards,Internal Project
new project code oracle fusion tuesday march pm code setup hi please code thank officer,Internal Project
password reset please marsh thanks tuesday october hi app tried requesting by never received thanks marsh product east avenue cell marsh information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,Access
platform access pm platform hi guys gain namely administrating user accounts word press platform product jabber ibm notes timeout other hand clients externally well environment think help out let resolve part let cheers information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying,Access
access card access card hi please consider access card lost initiate issuing card thank you regards tester,Access
enable on mobile phone resolved enable mobile phone resolved hello please assign she requested enable her personal mobile phone connect phone install macedonian language her thank engineer ext,Hardware
full import of data new pas wednesday july pm import hi please queue thanks,Internal Project
new purchase po tuesday pm re purchase po hello receipt number has aforementioned products thank engineer tuesday pm purchase po dear purchased requested by mouse wireless jug mouse mouse red please log allocation please take consideration mandatory receipts section order receive item ordered how video explorer kind regards administrator,Purchase
for issue sent july for issue hello please raise incident assign order job for database transaction log release some space moment logs file increased more than with native tools temporary solution before issue be solved someone investigating why anymore kind regards senior engineer,Hardware
new purchase po purchase po dear purchased please log allocation please take consideration mandatory receipts section order receive item ordered how video explorer thank best regards compliance information confidential legally privileged intended solely addressee opinions expressed mine,Purchase
windows reinstallation reported she needs reinstallation due her working slowly making her job difficult,Hardware
warning mc not communicating original message sent monday warning mc communicating event controller receiving data controller normal during update event id event code event severity warning event name location client name contact address additional information controller mc communicated with controller sc for minutes have failed event initially logged informational severity if problem persists event logged second warning severity mc automatically restarted attempt recover problem event then logged recommended action if event logged only one warning severity action required if event logged more than one warning severity following if you able access interfaces controller logged event following check version controller update latest if needed if latest already installed controller module logged event probably hardware fault replace module if you able access interfaces controller logged event following shut down controller reseat module if you then able access interfaces check version controller update latest if needed if problem recurs replace module,Miscellaneous
po hardware allocation thursday november pm po hello teams adaptor apple thunderbolt la gigabit were requested by please log allocation please perform receipt important thank administrator,Purchase
new starter and confluence re hello please find attached his form thanks hello please fill date thank administration officer,HR Support
surge protectors request tuesday surge protector dear took surge protector sockets,Hardware
external user pass reset user pass hi please provide pass please pass once updated thank,Access
doc to be uploaded march doc uploaded hi please help upload attached document policies document visible entity employees thank,Hardware
error oracle error sheet for logged incorrectly cannot modify because error can you please unblock thanks,HR Support
new job title oracle job title designer grade intern,HR Support
entry to be deleted tuesday pm deleted hi delete somehow got by duplicate needed regards,HR Support
access good morning require currently created by best regards design lead phone mobile ext blvd zone,Hardware
assign to wednesday assign hi please assign his pm approve his vacations thank,Miscellaneous
snow blocked by outlook arrived mailbox mention unsafe item,Administrative rights
license march pm re license approved also thanks march license hello please provide license please approve thanks,Access
update update hello please he has left thank senior software developer,Administrative rights
please action submit your time cards for approval march please action submit cards hi getting these few times thought resolved provided dates guys worked couple couple occasions please stop thanks march please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,HR Support
issue not receiving certain hello receive some specific nor forwarded could you please solve problem thank you tester en,Hardware
access rights thursday rights hi also provide assignment role replicate kind regards mobility officer,HR Support
error oracle sent monday forgot mention number hours per week for with entered status higher than have idea why happened moment submitted them was sent monday dear some have changed meaning have submitted them but current status entered please attached also cannot change them cannot submit due error error could you please investigate issue thank you,HR Support
outlook not synchronizing with mobile phone with mobil phone working within for client dear sirs madames sent receives laptop but mobil phone since yesterday done with mobil phone number mobile phone called work with client one please check circumstance for thank you en with kind regards senior consultant frankfurt main frankfurt main,Administrative rights
board tuesday july pm board hi board proof concept doing code billing towards please advise more board please assist next steps thanks best regards coordinator north,Internal Project
make visible console march re switch jabber messenger hi informed about by discipline lead disable jabber thank tester march switch jabber messenger hello please advised enable extension jabber disabled please let proceed looking forward hearing thank kind regards analyst ext hub friday march pm has assigned hello please advised record number has assigned please review details take appropriate action reference number details null choose template applicable please provide short description switch jabber messenger details switch jabber messenger jabber corporate connect meetings attend daily stand switch priority affected add requested unknown testing location location please link kind regards ref msg,Hardware
unknown pipeline set up request thursday pm unknown pipeline hi please generate unknown pipeline setup form press editable by regards,Internal Project
new starter access card enabling kale building card hello please note received starter started couple days ago had hardware allocation closed please investigate card thank engineer ext,HR Support
oracle error sent friday july re error hi call logged kind regards sent july error hi getting following error message when try submit for listed below for reported assignment set up expenditure organization for reported assignment set up expenditure organization for reported assignment set up expenditure organization for reported assignment set up expenditure organization for reported assignment set up expenditure organization for reported assignment set up expenditure organization kind regards senior infrastructure consultant infrastructure upcoming holiday th th,HR Support
new purchase po pm purchase po dear purchased apple pro retina please log installation kind regards administrator,Purchase
for calls issues for calls issues hi dear please help issue we keep when we using for calls there might be something wrong with since lately sound quality pretty bad there lot interruptions disconnections ongoing calls situation very frustrating since most calls with client we need reconnect plenty times ask if hear proficient can you please investigate potential triggers causing please come up with solution possible also be related with connection have mention we using cables most times please if you encounter same issues lately best regards,Hardware
please disable the logged notification sent by the service desk wednesday october pm please disable logged by hi logged somewhere logging again please leave active by,Miscellaneous
action required approve requisition action required approve requisition hi please let task had approved by instead thanks date thursday october action required approve requisition mind investigating these coming instead meantime approved thursday october action required approve requisition task application take action links actions approve reject more amount requester entered by accommodation justification approve reject lines accommodation cost center action history approved submitted view task details,Miscellaneous
new services hello kindly asking configuring hosting event monitoring germany hosting event monitoring hosting event monitoring canada tier germany hosting client hosting clients canada hosting client thanks,Hardware
new starter tower pm assistants starter discipline dear please informed candidate accepted job offer become discipline developer st please create his credentials per attached form thank best regards specialist,HR Support
project code mapped wrong to client sent thursday december code mapped wrong client dear have noticed we have code ca mapped can you please adjust believe code should be mapped client thanks,Internal Project
check project approval july pm period requires hi alerts approve level these please thanks july period requires hi these sitting july period requires period has submitted has approved install,Miscellaneous
account disabled disabled hi guys try sign laptop but seems disabled could you help thank you,Access
new starter access card enabling bucharest tuesday july pm re doc tuesday july pm ne prima administration officer,HR Support
new purchase po friday pm purchase po dear purchased requested by backpack inch please log allocation please take consideration mandatory receipts section order receive item ordered how video explorer kind regards administrator,Purchase
new starter new october pm re starter form complete completed starter form attached regards head testing mob,HR Support
access to mailbox saturday december pm mailbox hi guys please mailbox make available thanks,Storage
charger charger hello please log providing charger return by thank programme officer,Hardware
issues insufficient memory related attached error sent tuesday laptop low memory la laptop care minute si pot sa ca se inched plus ca ca pot sa laptop si tester en,Hardware
install recurrent issue sent monday november update install hi could you please raise ticket for below best regards applications analyst en sent monday november re update install hi colleague raised ticket she was able journal upload spreadsheet per below info she installed view but still able journal upload spreadsheet hence issue solved understand why ticket closed please advise thanks accounts receivable lead en sent november update install hi ticket,Miscellaneous
laptop freezes unexpectedly laptop freezes unexpectedly hello encountered today weird behavior laptop kind freezes after while one hour being turned freezes rest look like work for while but when try everything freezes then purple screen only solution restart button happened third times today already can you please tell what procedure case if repeats kind block activity let know with what other details can help you order identify problem kind regards senior developer,Hardware
meeting room cannot connect to tv hi plugged cable laptop selected correct input tv but tv still shows signal can you please fix thanks,Hardware
pas closing inactive projects closing inactive hi please close inactive name code date zoom possible ending date please advise closest possible date best regards,Internal Project
permission to create new projects needed tuesday october pm permission create needed hello please log assign directly queue has done thanks engineer,Access
error while submitting time card receiving error while trying submit for week error indicates task active expenditure item date screen cap attached can you provide additional information about error or how can be overcome thanks,HR Support
access tuesday october pm hi had problems connecting client wireless problem solved helped please assign him kind regards developer,Hardware
issues with time logging oracle issues with logging hello having difficulties with logging for past week receiving errors when trying populate with any data according second message happening because when requested toil days manage absence records text entered comment field was too since absence record already submitted approved unable text field please check third looking forward solution for issue kind regards engineer ext en,HR Support
managers list saturday pm hi please add thanks director central,Miscellaneous
to pm hello please add policies configurations he lead client policy computer host file regards design lead ext,Miscellaneous
problem with deleting a user sent thursday march problem with deleting hello part procedure for leavers we supposed delete their however always our able delete today have problems with deleting please delete also investigate reason prevent thank you engineer ext en,Hardware
new purchase po tuesday pm purchase po dear purchased received items galaxy mobile subscription updated include device under user name link please add installing device thanks please take consideration mandatory receipts section order receive item ordered how video kind regards administrator,Purchase
access to and shared folder to and shared folder hi guys please provide she joined needs also please shared folder thanks,Storage
new starter babu access card enabling wednesday pm re hello please find attached please order assign him equipment create ad credentials please starting receive he has arrived please let come show him his also make available him questions please let thank blvd floor district tuesday pm va ne prima administration officer,HR Support
please put user ad groups friday pm please user ad groups hello please log queue thanks friday pm please user ad groups hello please ad groups these groups equivalents his actual groups architects community engineering made by everybody,Miscellaneous
access to us mailbox mailbox hello please mailbox order perform daily tasks thank accounts payable accountant phone,Storage
notifications to be enabled for and tuesday hello neither receiving thresholds snow incidents requests please activate both example tickets logged december reached over thank planned absence ext,Miscellaneous
active directory user and computers not visible on site desktop hi we would greatly appreciate your investigation upon matter reported check up files still action taken even after installing kb package several restarts does show ad listed installed programs list programs features would you please give your advice thank you,Hardware
project test creation issue sent tuesday december client portal confluence zephyr dear created today client portal we need be able create test according terminology test test case detailed step by step description what should be done test something issue type like bug task etc possible you can attached pictures also we need access confluence for well thanks manager en,Access
alert original message sent friday july critical alert following alert occurred status active description disk disk device cannot be detected or stopped responding subsequent protection activities use disk fail until disk brought back for more information open administrator console review alert details monitoring task area sent friday july critical alert following alert occurred status active description disk disk device cannot be detected or stopped responding subsequent protection activities use disk fail until disk brought back for more information open administrator console review alert details monitoring task area sent friday july critical alert following alert occurred status active description disk disk device cannot be detected or stopped responding subsequent protection activities use disk fail until disk brought back for more information open administrator console review alert details monitoring task area sent friday july critical alert following alert occurred status active data source type data source be be computer be description last recovery points created operation failed for be be due error server future backups also likely fail until issue fixed for more information open administrator console review alert details monitoring task area sent friday july critical alert following alert occurred replica non writer inconsistent with protected data source protection activities for data source fail until replica synchronized with consistency check unexpected error occurred server machine during operation for more information open administrator console review alert details monitoring task area,Hardware
oracle hi have issue with until we were entering hours per requires enter hours per there any change we should be aware encountering same issue last friday also last when for should be submitted we would appreciate response thanks,HR Support
access to for maxim dear please member thank officer,HR Support
confluence and are not working the and belgrade offices sent tuesday confluence issue dear please be informed confluence app running could you please check reasons issues best regards manager,Access
problems problems hello have problems for for following periods because code used inactive think period can you please advise kind regards mobile developer blvd th floor district,Internal Project
new purchase po thursday march pm purchase po dear purchased cable please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,Purchase
logging hours time oracle error sent tuesday november logging hours error hello currently unable enter hours receive error attached thank you kind regards monitoring engineer,HR Support
quality attributes explorer february pm attributes explorer importance high dear please help naming next addresses thanks senior developer,Hardware
list of all people managers re hi moment create taken please log help report coordinator pm hello centralized way together two possible ways teams help maybe ad pull out containing other listed reports added hold information purpose communication which aimed thank best regards leader,Miscellaneous
unknown pipeline wednesday july pm unknown pipeline hi please give pipelines both known unknown pipeline understand short notice make update pipeline today tomorrow close cycle thank officer,Internal Project
wants to access resources wants resources head please accept decline requests,Storage
account confluence july pm hi developer confluence etc thanks,Access
new code to be created friday code created dear please also queue thank kind regards code created hello please advised has added queue kind regards analyst ext hub thursday pm re code created hi again guys please ignore filled out form please attached kindly let kind regards thursday pm re code created hi clarify additional code under existing client has other codes other fill out form want completely separate client reacted code kind regards thursday pm code created hello respect please fill out form found link thank analyst ext hub thursday pm code created hello code book against please create application approvals questions please let kind regards,Internal Project
add laptop to thursday pm add hello which also received today want add well provide order working thing think adapter please let needed,Hardware
needed friday needed hi understand order installed please let thanks kind regards accountant ext,Purchase
time sheet error oracle wednesday pm sheet error hi guys please resolve error screen adjust sheet thanks client,HR Support
laptop for new starter july importance high care va workstation se floor number table seat number per maps seat design lead,Hardware
leaver for friday july re leaver hi sorry about wrong form attached termination best regards friday july re leaver hi please again clear leaving date thank thursday july pm leaver hi leaver friday her termination july effectively attaching leaver form best regards,HR Support
access to location thursday july pm location hi please contribute location approve needed she head discipline thanks agile,HR Support
please action direct reports missing time sent monday re please action direct reports hello like or weeks ago have raised ticket for be remove or be completed order for disappear like tell you still coming thanks sent wednesday please action direct reports dear manager part established processes each required submit his weekly basis each friday for past week must be submitted for approval you receiving because some your direct reports haven followed process please help cascade accordingly gets possible below breakdown your direct reports please note if refers left or maternity other absence leave please contact update person record otherwise please contact person directly submit their manager country for for date total days information confidential be legally privileged intended solely for addressee any opinions expressed mine necessarily represent opinions susceptible interference if you intended recipient any disclosure copying or any action taken or omitted be taken reliance strictly,Miscellaneous
license visual studio pm license visual studio dear please help license visual studio visual studio attached problem best regards engineer,Access
new purchase po wednesday purchase po dear purchased xxx lh lh transceiver module nm dom please log allocation please take consideration mandatory receipts section order receive item ordered how video kind regards administrator,Purchase
delivery failing to com sent thursday re sprint planning materials hi guys could you please investigate what wrong with address why working properly thanks sent thursday re sprint planning materials address keeps bouncing back sent thursday undeliverable re sprint planning materials failed these or groups your message can be delivered because address restricted for more information about issue code diagnostic information for administrators generating server remote server returned resolver authentication required original message headers with server id with server id via transport return path msg ref server tower originating domain version banners checked by server tower with encrypted by with id signature relaxed relaxed subject date message id references content type mime version by with id version cipher bits verify with server id with server id by with server id signature relaxed relaxed selector mb prod with server version cipher with id mb prod with id cohen re sprint planning materials thread topic sprint planning materials thread index oz date message id references accept language en content language en attach yes originating diagnostics mb tho filtering correlation id filtering tenant mb report test report test mb mb forefront forefront report out mb mb prod none en content type related boundary mb mb type alternative mime version hosted id transport mb virus version vendor engine definitions signatures information transmitted including any content communication confidential intended only for use intended recipient or affiliates subsidiaries if you intended recipient you hereby notified any use information contained or transmitted with communication or dissemination or copying communication strictly prohibited if you have received communication error please notify immediately by replying message delete original message,Hardware
error error for locked with status error after trying please help deleting can correctly enter submit for given period thanks senior consultant,HR Support
procurement approval view thursday pm view hello way more meaningful view tab under user display name quite useless especially same useful requisition amount requestor least entered by requisitioning also help,Miscellaneous
re open configuration re configuration hi going cr order add please assign queue best regards senior engineer re configuration hi thanks update mo visibility related user connect he except edge which fine user edge user wants anywhere configuration configured also configuration let related configuration environment site role cluster name back back edge edge front front front file mediation mediation persistent chat persistent chat persistent chat persistent chat persistent chat cluster name back back edge edge front front front file mediation mediation persistent chat persistent chat persistent chat persistent chat persistent chat add networks configuration please let make change best regards re configuration hi pushed users none mentioned pushed users regarding checked profile her traffic routed via best regards senior engineer configuration hi configuration addresses back back back edge edge front front front file mediation mediation back back back edge edge front front front file mediation mediation senior infrastructure engineer infrastructure upcoming holiday none,Access
new starter georgian access card enabling bucharest tuesday hello va ne date administration officer,HR Support
new project code oracle fusion please create code hello please create code per attached form best regards,Internal Project
new starter october starter form hello please fill enclosed thanks,HR Support
new purchase po one friday july pm purchase po dear purchased link link please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,Purchase
access to confluence tuesday july pm confluence hi confluence think user confluence prod users tx,Access
confluence space tuesday pm confluence hello please create confluence visible anyone unit please also make more details please let thanks head analysis,Access
save oracle error save error hello get attached error when try save submit for last week december could you please investigate or advise issue thank you,HR Support
request to create a new set of users for project create users hi please log tickets requests bellow thank much best wishes engineer thursday pm create users hi please create by users user rights comments record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users issues logged by questions please let regards head testing hi please create by users user rights comments record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users issues logged by questions please let regards head testing hi please create by users user rights comments record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users issues logged by questions please let regards head testing,Access
visual studio license expired sent tuesday vs license expired hello visual studio license expired need be renewed order work current thank you developer en sent tuesday re visual studio license expired hello please be informed visual studio subscription assigned you activate subscription please create personal with same name your work address activate visual studio tool please go settings sign with your personal please kindly let know if further assistance needed best regards analyst,Access
investigation of report difference pm imports finished hello please log tickets imports investigation report difference kind regards application developer pm re imports finished hello currently investigate by difference reports by imports comeback updates kind regards application developer re imports finished thanks generally looks few exceptions please advise took extracts regarding days issue highlighted friday regarding submitted by employees observation these report compare report utilization posted by these guys seems consistent periods think regards imports finished imports kind regards application developer,Miscellaneous
am academy wednesday pm re academy hi thank sorry late tuesday december academy hello apologize getting back late order make understand please bellow shared mailbox added additional mailbox under personal mailbox come separate mailbox users added clients which come personal mailbox users owners kindly let which two also note lists accessed inside by default please also let allow members mails looking forward hearing thank best regards analyst ext hub thursday december pm academy hi please create academy mailing contain engineering anyone subscribe possible thank head,Storage
second monitor turns black video signal is lost few days ago changed desktop with laptop had desktop monitors one them remained second screen for laptop but seems work fine while working second monitor turns black turn off also message displayed for few seconds if video signal lost monitor connected laptop via cable,Hardware
replace cable replace cable hello please open ticket assign she noticed issues with image quality her monitor after replacing cable image quality returned normal thank you engineer ext en,Hardware
oracle error sent wednesday error pot status error sa print screen manager en,HR Support
connection issues with servers sent tuesday february connection issues with servers dear trying connect following servers but with success server works fine located could you have look if you please other colleagues also encounter problem thanks engineer,Hardware
critical alert sent saturday july critical alert following alert occurred status active description tape failed recovery hardware cannot be completed could find valid recovery point disk,Miscellaneous
oracle approvals sent monday approvals hi currently assigned line manager but unable submitted for approval have confirmation seen them being sent her for approval can you please investigate let know if additional details needed note attached screen capture latest actions required none relating th week need approve best regards senior tester master,Miscellaneous
hr upgrade sent thursday july upgrade hello could you please open ticket upgrade tool version best regards engineer managed en information confidential be legally privileged intended solely for addressee any opinions expressed mine necessarily represent opinions,Administrative rights
downtime notification form tuesday march pm downtime form hi please communication per form possible please communication per schedule today thursday hrs thanks kind regards officer,Hardware
to project tudor hi please mirroring resources thank application discipline lead,Internal Project
leavers service now please close accounts tower,HR Support
for on mobile possible tuesday pm mobile possible hi possible mobile phone available app enable join calls via phone re thank program,Hardware
owner pm owner hello ask responsible section thanks kind regards mobility officer,Miscellaneous
hosting code hosting code hi regarding source control hosting how much take repository cost how much thanks regards,Access
oracle sent tuesday october hi sent be approved by today when she tried access them were blank could you please check what wrong thank you communication specialist,Miscellaneous
new starter date hello please fill starter form hopefully he his activity st thanks,HR Support
opportunity pending approval tuesday pm opportunity pending hi please opportunity pending fully approved thank best regards programme portfolio officer,Miscellaneous
please check tv from meeting room tuesday pm please tv meeting room dear sir madam kindly tv room subject checked thank phone,Hardware
access to confluence pm hello dears please view confluence referenced thank,Access
faulty notifications flow requested item warning for faulty flow requested item warning hello kindly amend reach thanks leader mobile wednesday december pm requested item warning close breaching please advised close breaching reference number summary script extract site files priority resolution target date assigned engineer please,Miscellaneous
new purchase po wednesday july pm purchase po dear purchased has please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,Purchase
access to ops wireless network wireless hello please provide wireless allows remote client allow haven needed quite ad radius authentication work thanks head infrastructure,Hardware
wants to access resources write access friday march pm wants resources please write file justification update file thanks accept decline,Storage
please provide access to wednesday february pm please provide hi please give thank,HR Support
connection issues on the network with the assigned and address connection issues with assigned address hi facing connection issues number en tried changing cable switch with working ones works for colleagues machine still luck problem must be with address if change works can you please assist further thank you,Hardware
access to hosting and net friday february pm hosting hi guys please provide hosting thank application engineer,HR Support
add to approval flow for intra tuesday pm flow hi please add intra code flow thank,Miscellaneous
laptop open sent tuesday february laptop open hello please log ticket for below request since morning cannot open laptop even if plugged seem be charging can someone please help with thanks,Hardware
lost badge lost badge hello please disable badge lost assign one best regards,Access
project access hi please help please thank tuesday december pm hi please urgently give roles same ones thanks,HR Support
git repository for com project re repository client git repository name required type role leader role best regards test consultant mob zone tuesday re repository hi please provide completed form order proceed find thanks analyst ext git repository hi please create git repository best regards test consultant mob zone,Access
git account november pm git hi please create named git ad him migration git out code orchestration let credentials kind regards technical consultant,Access
documentation documentation hi documentation regards order help complete made please provide thanks regards north,Storage
failed sent friday november failed dear external networks via forefront failing cannot notebook either even being potentially locked or disabled worst case scenario was hijacked please investigate advise kind regards,Hardware
access card tuesday february pm card si ca card,Access
access issues new folders sent friday re access issues folders hi have access you correct after almost weeks being able work with file explorer best regards officer en registered st floor registration vat value sent friday re access issues folders hello please be informed our was changed one we checked you have permissions best regards engineer sent monday december access issues folders hi cannot access following folders using file explorer get below error accounts libraries accounts libraries accounts libraries can you please help with issue best regards officer en registered st floor registration vat value,Storage
confluence access july pm confluence hi link confluence fin title thank,Access
issues priority issues multiple incidents logging request hi please log individual incident non per below spreadsheet please also mention each ticket summary corresponding priority above spreadsheet teams know ticket handle after successfully logging tickets please fill corresponding incident number aforementioned spreadsheet thanks kind regards officer,Miscellaneous
dial out issue incident raise hello dear please log incident assign able dial out using slough using his desktop client thank you for your help kind regards infrastructure manager ext,Hardware
service now user account user,Access
access wednesday march hi please give add her member git repository best regards architect,Access
line manager changes oracle changes hello please help changes tried changing few times taking too please help changes add pm thank,Miscellaneous
account hi please credentials,Access
to adapter wednesday november pm adapter dear please display adapter adapter poor usually find broken ones meeting rooms hand cheers,Hardware
new purchase po thursday purchase po dear purchased please log installation kind regards administrator,Purchase
add newly created to the all staff re create hi thanks please also add newly created best regards,Miscellaneous
leaver mobile phone december kale building friday december leaver mobile phone december kale building hi had mobile subscription plan available mobile number note mailbox receive messages,Hardware
paternity leaver form georgian paternity leaver form hello please fill paternity form thank administration officer,HR Support
public public hi client ne currently working functionality which implies link client made available test environment order test public class communicate link relevant mobile ones therefore has connected thanks leader,Hardware
client access wednesday november pm client hi please allow pass please assign had chat regarding prior raising thank officer,HR Support
oracle fusion hi guys sorry holiday has transferred his sheet duties friday transfer included person since then received random transfer withdrawn apart transfer sheet appears times approve same information plus opening daily breakdown empty guidance appreciated thank leader registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability,HR Support
resolved check why does account gets locked re logged unlock hi locked again please assist unlock also appreciate reason happening thanks,Access
setup backup for databases friday february status hello please log setup backup databases assign name databases backups listing name rec model type backup simple never model never simple never kind regards senior engineer,Internal Project
development team access pm hi please add ad give site old kind regards re thanks moment review training materials thanks again senior software engineer date re hi ask modify right ad add permissions by creating locally starts bit messy needs permissions possible needs write write reading materials then provide level kind regards hey add users review documentation thank sir senior software engineer,Miscellaneous
printer issue resolved sent thursday printer issue resolved hi let you know had issue with one printers st floor was quickly resolved by yesterday thanks,Miscellaneous
new project codes pas management tuesday pm codes hi please attached follows pre opportunity pre opportunity pre opportunity pre opportunity let more information kind regards information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying,Internal Project
event notification ground floor main door open sent wednesday march event notification data event ground floor main door open source cafe details details details,HR Support
wants to access planning wants planning hi thank accept decline requests,Storage
oracle timecard error sent wednesday timecard entry error good morning can you please delete record because there must something wrong was able enter task details client after deleted can try enter record for same week,HR Support
second adapter for second adapter hello going work tomorrow second adapter please advice regards,Hardware
access to tuesday december pm hello moving repository reviving members follow members even please help add order work thanks design lead,Access
wants to access planning wants planning said update profile accept decline requests,Storage
monitor cable tuesday pm monitor cable hi please cable monitor thanks regards,Hardware
error time card sent july re error card hi added our colleagues assist you matter thanks manager sent monday july error card dear could you please remove card for last week because there some error print screen below enter again thank you regard officer belgrade,HR Support
